"","Group.1","x","SH_max.x","SH_min.x","SH_sd.x","T_mean.x","T_max.x","T_min.x","T_sd.x","Rad_mean.x","Rad_max.x","Rad_min.x","Rad_sd.x","Per_mean.x","Per_max.x","Per_min.x","Per_sd.x","Per_sum.x"
"1172",2017-03-17,136.154166666667,138,134.5,0.825966270328444,3.42986111111111,5.7,0.9,1.24384244843109,135.833333333333,534,-1,179.227089610777,0.236111111111111,2,0,0.442278131507704,34
"1173",2017-03-18,136.796527777778,144.2,133.3,2.53516287374713,0.895138888888889,2.4,-0.2,0.921486323019525,63.9027777777778,280,-1,81.3955480169845,0.3125,2,0,0.521814344178281,45
"1174",2017-03-19,150.361111111111,160.1,144.1,4.88743373837524,1.62083333333333,4.1,-0.6,1.86753174676492,113.347222222222,534,-167,155.976343887045,0.243055555555556,1,0,0.43042551360964,35
"1175",2017-03-20,142.612587412587,147,138.4,2.51700881980882,4.07762237762238,8.4,2.4,1.22557371333578,141.664335664336,510,-1,177.490961644746,0.125874125874126,1,0,0.332873381737677,18
"1176",2017-03-21,138.904166666667,142.8,133.2,2.50079358033976,2.49166666666667,6.9,-0.3,1.85560952608212,128.826388888889,522,-1,175.903872741932,0.111111111111111,1,0,0.315366611194177,16
"1177",2017-03-22,136.827972027972,139.3,131.8,1.89567356175402,0.156643356643357,2.2,-1,0.872309500617485,95.1398601398601,381,-1,124.379621162567,0.181818181818182,2,0,0.404836319495406,26
"1178",2017-03-23,133.719444444444,136.5,129.4,2.02958116102798,2.90763888888889,7.6,0.3,1.33678875533091,136.979166666667,548,-1,177.048034600625,0.229166666666667,2,0,0.453714275019691,33
"1179",2017-03-24,130.125874125874,132.4,125.5,1.66888312516263,4.87832167832168,9,1.9,1.7560414774265,123.398601398601,546,-1,160.527832690947,0.188811188811189,2,0,0.427093830622287,27
"1180",2017-03-25,128.288888888889,131.2,124.7,1.54513045644312,5.10763888888889,12.1,1.7,2.28577479514965,144.152777777778,470,-1,177.745017317058,0.166666666666667,2,0,0.392232270276368,24
"1181",2017-03-26,128.108333333333,130.3,123.3,1.84047348726969,0.211111111111111,6.8,-3.6,2.54377372633353,128.777777777778,563,-1,164.936709389141,0.25,2,0,0.465599846201883,36
"1182",2017-03-27,126.404195804196,129.3,122,1.8694306629678,2.16083916083916,9.7,-4,4.04654321203992,155.937062937063,491,-1,190.578815043608,0.153846153846154,1,0,0.362069410272148,22
"1183",2017-03-28,124.370629370629,126.9,120.3,1.7886115540396,4.42027972027972,11.3,1.4,2.14234830483601,154.573426573427,484,-1,187.889744771471,0.13986013986014,1,0,0.348060999215121,20
"1184",2017-03-29,122.703472222222,125,118.7,1.47166302364606,2.78055555555556,5,1.2,1.09463266360029,117.291666666667,534,-1,150.503113133706,0.0902777777777778,1,0,0.287579589334883,13
"1185",2017-03-30,120.615277777778,123.6,116.2,1.76184579960921,4.92152777777778,11.4,0.9,2.79372832059471,150.104166666667,471,0,181.723824838644,0.0763888888888889,1,0,0.266546447260151,11
"1186",2017-03-31,117.259440559441,120,111,1.7318978339837,7.66783216783217,13.8,5.4,1.99797790026413,157.51048951049,481,0,188.974656141619,0.174825174825175,1,0,0.38115253895693,25
"1187",2017-04-01,117.014685314685,118.5,114.5,0.911735540631398,4.75594405594406,6.5,2.5,0.978042193394278,121.671328671329,490,1,163.594516602198,0.230769230769231,1,0,0.422805980415079,33
"1188",2017-04-02,114.724305555556,117.1,108.4,1.98022554792837,4.09097222222222,9.4,0.5,2.51623854012917,143.944444444444,539,-1,183.215291517501,0.138888888888889,1,0,0.347037635473619,20
