DateTime,Time,Time,corImpulses,Distance,AccuDist
25.03.2017,0.836678,20:04:49,0,0.785,265.33
26.03.2017,0.415116,09:57:46,1,0.785,266.115
26.03.2017,0.755359,18:07:43,0,0.785,266.9
27.03.2017,0.429491,10:18:28,1,0.785,267.685
27.03.2017,0.869711,20:52:23,0,0.785,268.47
28.03.2017,0.629699,15:06:46,1,0.785,269.255
28.03.2017,0.926852,22:14:40,0,0.785,270.04
28.03.2017,0.951076,22:49:33,1,0.785,270.825
28.03.2017,0.957025,22:58:07,0,0.785,271.61
29.03.2017,0.634005,15:12:58,1,0.785,272.395
30.03.2017,0.0714,01:42:49,0,0.785,273.18
31.03.2017,0.417188,10:00:45,1,0.785,273.965
31.03.2017,0.77625,18:37:48,0,0.785,274.75
31.03.2017,0.802072,19:14:59,1,0.785,275.535
31.03.2017,0.860613,20:39:17,0,0.785,276.32
31.03.2017,0.890301,21:22:02,1,0.785,277.105
31.03.2017,0.899595,21:35:25,1,0.785,277.89
31.03.2017,0.914201,21:56:27,1,0.785,278.675
01.04.2017,0.62184,14:55:27,1,0.785,279.46
01.04.2017,0.934537,22:25:44,0,0.785,280.245
01.04.2017,0.954873,22:55:01,0,0.785,281.03
02.04.2017,0.75272,18:03:55,1,0.785,281.815
03.04.2017,0.1386,03:19:35,0,0.785,282.6
03.04.2017,0.156435,03:45:16,1,0.785,283.385
03.04.2017,0.175868,04:13:15,0,0.785,284.17
03.04.2017,0.917037,22:00:32,1,0.785,284.955
04.04.2017,0.412465,09:53:57,0,0.785,285.74
05.04.2017,0.199132,04:46:45,1,0.785,286.525
05.04.2017,0.704155,16:53:59,0,0.785,287.31
06.04.2017,0.43059,10:20:03,1,0.785,288.095
06.04.2017,0.898669,21:34:05,0,0.785,288.88
08.04.2017,0.110706,02:39:25,1,0.785,289.665
08.04.2017,0.418542,10:02:42,0,0.785,290.45
09.04.2017,0.089271,02:08:33,1,0.785,291.235
09.04.2017,0.512072,12:17:23,0,0.785,292.02
10.04.2017,0.10713,02:34:16,1,0.785,292.805
10.04.2017,0.505787,12:08:20,0,0.785,293.59
11.04.2017,0.285012,06:50:25,1,0.785,294.375
11.04.2017,0.794931,19:04:42,0,0.785,295.16
11.04.2017,0.81934,19:39:51,1,0.785,295.945
12.04.2017,0.613495,14:43:26,1,0.785,296.73
13.04.2017,0.037037,00:53:20,0,0.785,297.515
13.04.2017,0.832963,19:59:28,1,0.785,298.3
14.04.2017,0.354028,08:29:48,0,0.785,299.085
15.04.2017,0.45978,11:02:05,1,0.785,299.87
15.04.2017,0.755718,18:08:14,0,0.785,300.655
15.04.2017,0.834977,20:02:22,1,0.785,301.44
15.04.2017,0.840868,20:10:51,0,0.785,302.225
15.04.2017,0.856215,20:32:57,0,0.785,303.01
15.04.2017,0.93235,22:22:35,0,0.785,303.795
16.04.2017,0.527396,12:39:27,1,0.785,304.58
16.04.2017,0.976366,23:25:58,0,0.785,305.365
17.04.2017,0.685856,16:27:38,1,0.785,306.15
18.04.2017,0.090104,02:09:45,0,0.785,306.935
18.04.2017,0.097014,02:19:42,0,0.785,307.72
18.04.2017,0.114016,02:44:11,1,0.785,308.505
18.04.2017,0.838553,20:07:31,1,0.785,309.29
19.04.2017,0.291829,07:00:14,0,0.785,310.075
19.04.2017,0.304352,07:18:16,1,0.785,310.86
19.04.2017,0.319931,07:40:42,0,0.785,311.645
19.04.2017,0.325868,07:49:15,1,0.785,312.43
20.04.2017,0.097882,02:20:57,1,0.785,313.215
20.04.2017,0.527083,12:39:00,0,0.785,314
21.04.2017,0.349271,08:22:57,1,0.785,314.785
21.04.2017,0.838924,20:08:03,0,0.785,315.57
23.04.2017,0.058137,01:23:43,1,0.785,316.355
23.04.2017,0.388623,09:19:37,0,0.785,317.14
24.04.2017,0.067211,01:36:47,1,0.785,317.925
24.04.2017,0.500278,12:00:24,0,0.785,318.71
25.04.2017,0.214329,05:08:38,1,0.785,319.495
25.04.2017,0.630775,15:08:19,0,0.785,320.28
25.04.2017,0.641748,15:24:07,1,0.785,321.065
26.04.2017,0.356134,08:32:50,1,0.785,321.85
26.04.2017,0.796597,19:07:06,0,0.785,322.635
26.04.2017,0.813137,19:30:55,1,0.785,323.42
26.04.2017,0.82537,19:48:32,0,0.785,324.205
27.04.2017,0.571088,13:42:22,1,0.785,324.99
27.04.2017,0.990625,23:46:30,0,0.785,325.775
28.04.2017,0.704178,16:54:01,1,0.785,326.56
29.04.2017,0.206713,04:57:40,0,0.785,327.345
30.04.2017,0.369641,08:52:17,1,0.785,328.13
30.04.2017,0.675231,16:12:20,0,0.785,328.915
01.05.2017,0.25603,06:08:41,1,0.785,329.7
01.05.2017,0.701944,16:50:48,0,0.785,330.485
02.05.2017,0.407512,09:46:49,1,0.785,331.27
02.05.2017,0.758125,18:11:42,0,0.785,332.055
03.05.2017,0.43765,10:30:13,1,0.785,332.84
03.05.2017,0.874641,20:59:29,0,0.785,333.625
04.05.2017,0.569641,13:40:17,1,0.785,334.41
04.05.2017,0.992662,23:49:26,0,0.785,335.195
05.05.2017,0.663715,15:55:45,1,0.785,335.98
06.05.2017,0.162141,03:53:29,0,0.785,336.765
06.05.2017,0.183495,04:24:14,0,0.785,337.55
06.05.2017,0.231435,05:33:16,0,0.785,338.335
07.05.2017,0.338206,08:07:01,1,0.785,339.12
07.05.2017,0.842593,20:13:20,0,0.785,339.905
08.05.2017,0.443808,10:39:05,1,0.785,340.69
08.05.2017,0.891898,21:24:20,0,0.785,341.475
09.05.2017,0.535498,12:51:07,1,0.785,342.26
09.05.2017,0.920451,22:05:27,0,0.785,343.045
10.05.2017,0.639421,15:20:46,1,0.785,343.83
11.05.2017,0.074803,01:47:43,0,0.785,344.615
11.05.2017,0.863056,20:42:48,1,0.785,345.4
12.05.2017,0.293438,07:02:33,0,0.785,346.185
12.05.2017,0.995903,23:54:06,1,0.785,346.97
13.05.2017,0.466713,11:12:04,0,0.785,347.755
14.05.2017,0.438947,10:32:05,1,0.785,348.54
14.05.2017,0.842535,20:13:15,0,0.785,349.325
15.05.2017,0.491412,11:47:38,1,0.785,350.11
15.05.2017,0.904433,21:42:23,0,0.785,350.895
16.05.2017,0.636979,15:17:15,1,0.785,351.68
