statnr,datum,RSX
12311,2015012819,0
12311,2015012820,0
12311,2015012821,0
12311,2015012822,0
12311,2015012823,0
12311,2015012824,0
12311,2015012901,0
12311,2015012902,0
12311,2015012903,0
12311,2015012904,0
12311,2015012905,0.7
12311,2015012906,1.7
12311,2015012907,0.8
12311,2015012908,0.3
12311,2015012909,0.3
12311,2015012910,0.3
12311,2015012911,0
12311,2015012912,0.1
12311,2015012913,0
12311,2015012914,0
12311,2015012915,0
12311,2015012916,0
12311,2015012917,0
12311,2015012918,0
12311,2015012919,0
12311,2015012920,0
12311,2015012921,0
12311,2015012922,0
12311,2015012923,0
12311,2015012924,0
12311,2015013001,0
12311,2015013002,0
12311,2015013003,0
12311,2015013004,0
12311,2015013005,0
12311,2015013006,0
12311,2015013007,0.2
12311,2015013008,0.9
12311,2015013009,1
12311,2015013010,0.4
12311,2015013011,0.5
12311,2015013012,0.3
12311,2015013013,0.2
12311,2015013014,0
12311,2015013015,0.1
12311,2015013016,0
12311,2015013017,0
12311,2015013018,0
12311,2015013019,0
12311,2015013020,0
12311,2015013021,0
12311,2015013022,0
12311,2015013023,0
12311,2015013024,0
12311,2015013101,0
12311,2015013102,0
12311,2015013103,0
12311,2015013104,0
12311,2015013105,0
12311,2015013106,0.1
12311,2015013107,0
12311,2015013108,0.1
12311,2015013109,0
12311,2015013110,0
12311,2015013111,0
12311,2015013112,0
12311,2015013113,0
12311,2015013114,0
12311,2015013115,0
12311,2015013116,0
12311,2015013117,0
12311,2015013118,0
12311,2015013119,0
12311,2015013120,0
12311,2015013121,0
12311,2015013122,0
12311,2015013123,0
12311,2015013124,0
12311,2015020101,0
12311,2015020102,0
12311,2015020103,0
12311,2015020104,0
12311,2015020105,0
12311,2015020106,0
12311,2015020107,0
12311,2015020108,0
12311,2015020109,0
12311,2015020110,0
12311,2015020111,0
12311,2015020112,0
12311,2015020113,0
12311,2015020114,0
12311,2015020115,0
12311,2015020116,0
12311,2015020117,0
12311,2015020118,0
12311,2015020119,0
12311,2015020120,0
12311,2015020121,0.1
12311,2015020122,0.1
12311,2015020123,0.5
12311,2015020124,0.5
12311,2015020201,0.8
12311,2015020202,0
12311,2015020203,0.1
12311,2015020204,0
12311,2015020205,0
12311,2015020206,0
12311,2015020207,0
12311,2015020208,0
12311,2015020209,0.2
12311,2015020210,0.2
12311,2015020211,0.3
12311,2015020212,0.2
12311,2015020213,0
12311,2015020214,0
12311,2015020215,0
12311,2015020216,0
12311,2015020217,0
12311,2015020218,0
12311,2015020219,0
